Focus,Mag,H-Value,V-Value
-0.25,-1.2,1.5,1.531
-0.2,-1.2,1.49,1.524
-0.15,-1.2,1.49,1.52
-0.1,-1.2,1.49,1.527
-0.05,-1.2,1.49,1.527
0,-1.2,1.49,1.525
0.05,-1.2,1.48,1.514
0.1,-1.2,1.5,1.531
0.15,-1.2,1.48,1.515
0.2,-1.2,1.49,1.511
0.25,-1.2,1.48,1.508
0.3,-1.2,1.49,1.508
0.35,-1.2,1.47,1.496
0.4,-1.2,1.47,1.497
0.45,-1.2,1.48,1.504
0.5,-1.2,1.48,1.507
0.55,-1.2,1.48,1.499
0.6,-1.2,1.48,1.514
0.65,-1.2,1.48,1.522
0.7,-1.2,1.47,1.504
0.75,-1.2,1.48,1.509
0.8,-1.2,1.48,1.515
0.85,-1.2,1.48,1.519
0.9,-1.2,1.47,1.512
0.95,-1.2,1.47,1.517
1,-1.2,1.48,1.524
1.05,-1.2,1.49,1.546
1.1,-1.2,1.48,1.533
1.15,-1.2,1.48,1.539
1.2,-1.2,1.47,1.501
1.25,-1.2,1.47,1.513
1.3,-1.2,1.48,1.513
1.35,-1.2,1.47,1.504
1.4,-1.2,1.48,1.519
1.45,-1.2,1.49,1.525
1.5,-1.2,1.49,1.555
1.55,-1.2,1.49,1.52
1.6,-1.2,1.5,1.557
1.65,-1.2,1.5,1.533
1.7,-1.2,1.51,1.54
1.75,-1.2,1.5,1.543
1.8,-1.2,1.51,1.53
1.85,-1.2,1.5,1.54
1.9,-1.2,1.52,1.533
1.95,-1.2,1.51,1.537
-2,0.55,1.46,1.528
-1.95,0.55,1.41,1.507
-1.9,0.55,1.43,1.52
-1.85,0.55,1.36,1.516
-1.8,0.55,1.43,1.524
-1.75,0.55,1.37,1.519
-1.7,0.55,1.38,1.514
-1.65,0.55,1.41,1.511
-1.6,0.55,1.4,1.526
-1.55,0.55,1.42,1.513
-1.5,0.55,1.38,1.518
-1.45,0.55,1.42,1.516
-1.4,0.55,1.4,1.5
-1.35,0.55,1.41,1.518
-1.3,0.55,1.44,1.514
-1.25,0.55,1.45,1.496
-1.2,0.55,1.44,1.517
-1.15,0.55,1.4,1.496
-1.1,0.55,1.44,1.521
-1.05,0.55,1.41,1.506
-1,0.55,1.46,1.511
-0.95,0.55,1.46,1.514
-0.9,0.55,1.46,1.515
